station_number,station_id,latitude,longitude
270,ASN00003075,-17.3117,123.6356
271,ASN00003078,-18.7267,125.9875
272,ASN00003079,-18.9897,121.7208
273,ASN00003080,-17.5736,123.8217
274,ASN00003082,-17.8672,122.3631
275,ASN00003084,-17.3436,123.6781
276,ASN00003086,-17.7278,123.6547
277,ASN00003088,-18.8375,126.5247
278,ASN00003090,-17.7981,124.0772
279,ASN00003091,-18.9894,125.8478
280,ASN00003093,-18.1814,125.5619
281,ASN00003096,-17.8964,122.3122
282,ASN00003098,-17.0549,125.7108
283,ASN00003100,-17.9503,124.2653
284,ASN00004001,-20.9,117.1167
285,ASN00004003,-22.8,120.8625
286,ASN00004004,-20.9264,120.2075
287,ASN00004005,-22.0517,119.6325
288,ASN00004006,-22.1828,119.935
289,ASN00004007,-20.4,118.4667
290,ASN00004008,-20.6392,119.2431
291,ASN00004009,-20.6833,119.6667
292,ASN00004010,-21.0333,117.1333
293,ASN00004011,-21.4667,119.8333
294,ASN00004012,-20.1764,119.1906
295,ASN00004013,-20.5167,119.6667
296,ASN00004014,-20.85,119.7667
297,ASN00004015,-21.7219,119.3989
298,ASN00004016,-20.7867,118.5972
299,ASN00004018,-21.1833,119.8167
300,ASN00004019,-19.7419,120.8436
301,ASN00004020,-21.1756,119.7497
302,ASN00004021,-21.3122,120.0586
303,ASN00004022,-20.6333,120.0544
304,ASN00004023,-20.4619,119.5189
305,ASN00004024,-20.5192,118.0603
306,ASN00004025,-20.5,119.8
307,ASN00004026,-22.2914,120.1761
308,ASN00004027,-21.8861,120.1103
309,ASN00004028,-20.1078,119.5811
310,ASN00004030,-21.4,119.4
311,ASN00004031,-20.6267,117.1925
312,ASN00004032,-20.3725,118.6317
313,ASN00004033,-21.0561,117.4436
314,ASN00004035,-20.7767,117.1456
315,ASN00004036,-20.4681,119.0556
316,ASN00004037,-21.05,120.0
317,ASN00004038,-20.7483,118.8172
318,ASN00004039,-20.9469,117.3733
319,ASN00004040,-20.6472,119.5869
320,ASN00004041,-20.8503,120.695
321,ASN00004042,-20.8394,117.8358
322,ASN00004043,-21.9931,119.0131
323,ASN00004045,-21.62,118.955
324,ASN00004046,-20.6739,120.2044
325,ASN00004047,-20.8333,118.9
326,ASN00004054,-20.6783,117.1892
327,ASN00004057,-20.8833,119.15
328,ASN00004059,-20.8822,118.0308
329,ASN00004068,-19.7789,120.6417
330,ASN00004074,-20.3422,119.5206
331,ASN00004079,-21.3625,118.8783
332,ASN00004082,-20.615,117.1633
333,ASN00004083,-20.7097,116.7742
334,ASN00004084,-20.4958,120.1672
335,ASN00004086,-20.8956,117.6447
336,ASN00004089,-20.6744,117.1428
337,ASN00004090,-20.7594,117.1583
338,ASN00004092,-20.9786,117.0953
339,ASN00004093,-20.3292,119.1878
340,ASN00004096,-22.4272,120.8578
341,ASN00004097,-20.6175,116.7517
342,ASN00004098,-20.2906,119.28
343,ASN00005001,-21.8047,117.8056
344,ASN00005002,-22.515,116.5825
345,ASN00005003,-22.8975,120.1733
346,ASN00005004,-22.3761,114.1108
347,ASN00005005,-22.2792,117.6772
348,ASN00005006,-22.9119,116.2903
349,ASN00005007,-22.2406,114.0967
350,ASN00005008,-21.1906,115.9797
351,ASN00005009,-22.6331,119.4081
352,ASN00005010,-22.9742,114.4597
353,ASN00005012,-21.5906,117.0656
354,ASN00005013,-21.9961,115.0456
355,ASN00005014,-21.7869,117.8647
356,ASN00005015,-22.1039,118.4703
357,ASN00005016,-21.6364,115.1117
358,ASN00005017,-21.6689,115.1092
359,ASN00005018,-21.85,115.6167
360,ASN00005020,-22.6975,113.6747
361,ASN00005021,-22.2667,115.4167
362,ASN00005022,-21.975,116.0653
363,ASN00005023,-22.6217,119.9564
364,ASN00005024,-21.8067,114.1072
365,ASN00005025,-22.4,119.5333
366,ASN00005026,-22.2425,118.3358
367,ASN00005028,-22.6906,116.2328
368,ASN00005029,-21.6767,116.3928
369,ASN00005030,-22.5064,114.7944
370,ASN00005031,-21.8875,114.0092
371,ASN00005032,-21.5703,115.8786
372,ASN00005033,-22.2933,115.0342
373,ASN00005034,-22.4558,116.0508
374,ASN00005036,-22.9367,115.9825
375,ASN00005037,-21.7,117.45
376,ASN00005040,-21.1594,116.1197
377,ASN00005045,-22.685,114.3672
378,ASN00005048,-22.5403,115.4981
379,ASN00005051,-21.9303,114.1256
380,ASN00005052,-20.8831,116.6725
381,ASN00005053,-20.6553,116.6789
382,ASN00005055,-22.2275,118.345
383,ASN00005058,-20.8206,115.3931
384,ASN00005061,-20.7278,116.7483
385,ASN00005064,-22.7825,119.6172
386,ASN00005066,-22.7817,115.3706
387,ASN00005067,-22.0894,115.6239
388,ASN00005068,-22.6811,114.0394
389,ASN00005069,-21.6392,116.3308
390,ASN00005070,-21.3567,115.8208
391,ASN00005071,-21.3444,115.9356
392,ASN00005072,-22.6967,117.7703
393,ASN00005073,-21.8836,118.2217
394,ASN00005074,-22.6344,118.1119
395,ASN00005076,-22.745,117.6656
396,ASN00005078,-21.7672,114.8211
397,ASN00005082,-21.0544,116.2575
398,ASN00005083,-20.7692,116.8603
399,ASN00005084,-21.4606,115.0197
400,ASN00005086,-21.2947,116.1383
401,ASN00005088,-21.2475,116.0733
402,ASN00005089,-22.9003,118.7031
403,ASN00005093,-22.3767,118.6886
404,ASN00005094,-20.875,115.4056
405,ASN00005095,-22.9367,116.9731
406,ASN00006000,-25.0417,115.3092
407,ASN00006001,-27.4231,115.8347
408,ASN00006002,-24.685,114.8358
409,ASN00006003,-24.6525,113.6936
410,ASN00006004,-24.3333,114.0242
411,ASN00006005,-24.8208,113.7853
412,ASN00006006,-27.855,115.6733
413,ASN00006008,-25.0481,114.0294
414,ASN00006009,-23.105,113.8031
415,ASN00006010,-25.6114,115.4625
416,ASN00006011,-24.8878,113.67
417,ASN00006012,-26.4628,113.505
418,ASN00006013,-26.6972,114.3181
419,ASN00006015,-24.4447,114.0781
420,ASN00006017,-25.2786,115.8633
421,ASN00006019,-24.8061,114.4322
422,ASN00006020,-25.36,114.2292
423,ASN00006021,-24.4508,115.6072
424,ASN00006022,-25.0544,115.21
425,ASN00006023,-23.8222,113.5256
426,ASN00006025,-26.4008,114.1667
427,ASN00006026,-26.4275,114.1919
428,ASN00006027,-25.0442,115.1331
429,ASN00006029,-23.6361,115.2461
430,ASN00006030,-24.6314,115.3383
431,ASN00006031,-23.915,115.6183
432,ASN00006032,-24.4733,114.5553
433,ASN00006033,-23.4789,115.5481
434,ASN00006034,-25.3656,114.3594
435,ASN00006035,-26.7025,114.6183
436,ASN00006036,-25.6644,114.6267
437,ASN00006038,-23.3817,114.4375
438,ASN00006039,-23.8497,113.9714
439,ASN00006040,-24.0306,115.6967
440,ASN00006041,-24.0633,115.205
441,ASN00006042,-24.4117,115.3958
442,ASN00006043,-27.37,115.6517
443,ASN00006044,-25.9261,113.5319
444,ASN00006045,-26.6969,113.7158
445,ASN00006046,-23.1747,115.1194
446,ASN00006047,-25.405,115.2267
447,ASN00006048,-27.3853,115.9664
448,ASN00006050,-23.7647,114.5539
449,ASN00006051,-27.9864,115.6306
450,ASN00006052,-23.8608,115.1475
451,ASN00006053,-25.3017,115.1161
452,ASN00006054,-26.0511,114.7542
453,ASN00006055,-27.7458,115.8286
454,ASN00006056,-25.74,114.2847
455,ASN00006057,-25.1833,114.6767
456,ASN00006058,-27.4278,115.5147
457,ASN00006059,-25.9436,114.3222
458,ASN00006060,-26.2011,114.2869
459,ASN00006066,-23.1567,114.5403
460,ASN00006068,-25.4906,114.3981
461,ASN00006069,-26.5903,115.9267
462,ASN00006070,-24.3058,114.5003
463,ASN00006071,-26.6167,115.5467
464,ASN00006072,-23.0314,115.0414
465,ASN00006079,-25.0881,114.3853
466,ASN00006080,-26.2564,113.8064
467,ASN00006084,-23.4853,113.7811
468,ASN00006087,-24.8167,113.8333
469,ASN00006090,-26.96,115.9733
470,ASN00006095,-24.3967,113.4056
471,ASN00006097,-26.1203,113.3975
472,ASN00006098,-25.0294,115.8628
473,ASN00006099,-26.8936,115.9561
474,ASN00006100,-27.525,115.0569
475,ASN00006101,-26.0983,115.2444
476,ASN00006102,-26.1764,113.215
477,ASN00006103,-23.9064,114.7681
478,ASN00006105,-25.8925,113.5772
479,ASN00006106,-25.0381,115.9953
480,ASN00007000,-28.6294,116.2814
481,ASN00007002,-26.3611,118.0283
482,ASN00007003,-26.0417,116.9528
483,ASN00007006,-28.0411,117.6703
484,ASN00007007,-26.9844,116.5361
485,ASN00007008,-25.5067,118.7933
486,ASN00007009,-27.4833,117.3
487,ASN00007010,-28.6097,116.5714
488,ASN00007011,-28.7839,117.3625
489,ASN00007012,-26.1297,118.4853
490,ASN00007014,-27.2528,117.6525
491,ASN00007017,-27.4233,117.8994
492,ASN00007018,-27.0392,118.365
493,ASN00007019,-24.0019,119.5725
494,ASN00007020,-26.8764,118.1731
495,ASN00007021,-27.3839,117.7453
496,ASN00007023,-25.6864,119.2258
497,ASN00007024,-28.2731,117.1544
498,ASN00007025,-23.9214,116.5594
499,ASN00007026,-26.45,118.2
500,ASN00007027,-28.2494,116.34
501,ASN00007028,-24.0469,116.2181
502,ASN00007030,-26.1142,117.5047
503,ASN00007031,-26.905,118.8361
504,ASN00007032,-27.6292,117.4867
505,ASN00007033,-24.3444,119.5808
506,ASN00007034,-27.7447,116.7442
507,ASN00007035,-26.8936,117.1211
508,ASN00007036,-26.3475,118.9583
509,ASN00007037,-28.5564,117.7803
510,ASN00007038,-26.275,117.7842
511,ASN00007039,-27.6,117.9
512,ASN00007040,-27.5958,117.75
513,ASN00007041,-25.1303,116.9047
514,ASN00007042,-26.9367,117.5928
515,ASN00007043,-26.4458,116.5467
516,ASN00007045,-26.6136,118.5372
517,ASN00007046,-26.5933,118.4883
518,ASN00007047,-28.4467,118.2675
519,ASN00007048,-27.4222,116.825
520,ASN00007049,-26.3736,117.3339
521,ASN00007050,-25.0942,118.2983
522,ASN00007052,-25.9214,117.6
523,ASN00007053,-24.3086,116.9111
524,ASN00007054,-27.8794,117.5506
525,ASN00007055,-25.8064,117.3906
526,ASN00007056,-24.8567,116.895
527,ASN00007057,-28.0619,117.8503
528,ASN00007058,-24.4,116.3078
529,ASN00007059,-24.2297,118.2408
530,ASN00007060,-27.4189,116.6897
531,ASN00007061,-24.8333,118.4717
532,ASN00007062,-23.7942,120.2442
533,ASN00007063,-28.5253,117.0344
534,ASN00007064,-27.3636,116.4261
535,ASN00007065,-28.6519,117.6083
536,ASN00007067,-28.9464,118.1867
537,ASN00007068,-29.425,117.2906
538,ASN00007069,-28.1233,116.8294
539,ASN00007070,-25.6381,118.7131
540,ASN00007071,-28.0531,116.6514
541,ASN00007072,-29.1886,117.9222
542,ASN00007078,-26.5597,118.5397
543,ASN00007079,-23.5867,120.0517
544,ASN00007080,-25.1256,119.1514
545,ASN00007081,-28.8928,117.1333
546,ASN00007082,-27.1192,118.0842
547,ASN00007083,-23.6239,118.6561
548,ASN00007084,-23.48,116.1108
549,ASN00007085,-27.8336,117.8792
550,ASN00007087,-28.0097,118.5753
551,ASN00007088,-27.8058,116.5692
552,ASN00007089,-27.0878,116.1606
553,ASN00007090,-28.8439,117.8317
554,ASN00007091,-28.3392,116.6828
555,ASN00007092,-26.3608,119.8233
556,ASN00007093,-25.5786,117.9931
557,ASN00007094,-24.6514,116.1647
558,ASN00007095,-28.2322,117.6556
559,ASN00007096,-27.9808,116.0347
560,ASN00007097,-27.8608,118.4183
561,ASN00007098,-28.8,117.6
562,ASN00007099,-27.1308,118.7803
563,ASN00007100,-25.6933,118.0803
564,ASN00007101,-26.2822,118.6933
565,ASN00007103,-25.48,119.6492
566,ASN00007104,-23.9958,117.5225
567,ASN00007105,-24.8094,118.1111
568,ASN00007106,-28.415,116.2833
569,ASN00007107,-27.1178,117.1175
570,ASN00007108,-28.325,118.545
571,ASN00007110,-27.95,117.8667
572,ASN00007111,-24.2008,116.475
573,ASN00007119,-23.3856,117.0319
574,ASN00007123,-27.4375,118.9292
575,ASN00007124,-25.2806,116.2083
576,ASN00007129,-27.8036,116.8856
577,ASN00007130,-26.0747,116.6942
578,ASN00007132,-25.0964,117.5922
579,ASN00007134,-26.795,118.9842
580,ASN00007135,-28.2747,117.3919
581,ASN00007137,-26.3028,116.8789
582,ASN00007139,-29.2708,117.6836
583,ASN00007146,-28.3831,117.6817
584,ASN00007149,-26.5942,118.4883
585,ASN00007150,-27.6467,117.8592
586,ASN00007151,-23.3683,119.7314
587,ASN00007152,-24.7103,119.6069
588,ASN00007153,-23.5531,119.1478
589,ASN00007154,-27.9369,118.1889
590,ASN00007156,-27.9578,116.3383
591,ASN00007157,-27.7744,117.0156
592,ASN00007159,-27.5486,118.2172
593,ASN00007160,-26.2628,119.7639
594,ASN00007161,-25.4636,117.1361
595,ASN00007164,-23.7639,116.1197
596,ASN00007165,-24.9483,118.7147
597,ASN00007168,-29.0675,117.7572
598,ASN00007169,-23.1017,119.3678
599,ASN00007176,-23.4169,119.7989
600,ASN00007177,-23.6042,117.6892
601,ASN00007178,-23.2028,117.6692
602,ASN00007179,-24.4114,118.9408
603,ASN00007180,-25.0386,120.0064
604,ASN00007181,-23.9775,120.0108
605,ASN00007185,-23.1725,117.7494
606,ASN00007186,-25.565,116.6653
607,ASN00007190,-29.3892,117.8281
608,ASN00007191,-23.4531,119.7994
609,ASN00007192,-27.3161,117.97
610,ASN00007193,-27.0503,117.6503
611,ASN00007194,-27.0722,119.2522
612,ASN00007195,-26.0783,116.1533
613,ASN00007196,-25.7361,116.9181
614,ASN00007197,-28.2817,118.3111
615,ASN00007199,-25.3106,119.4481
616,ASN00007200,-27.1242,118.2714
617,ASN00007201,-24.7428,117.3583
618,ASN00007600,-28.1156,117.8425
619,ASN00008000,-27.9608,114.6339
620,ASN00008001,-28.0603,114.9461
621,ASN00008002,-30.5967,116.7714
622,ASN00008003,-30.5922,116.9194
623,ASN00008004,-28.0058,114.2206
624,ASN00008005,-30.7294,116.02
625,ASN00008006,-29.3333,115.5
626,ASN00008007,-28.8956,115.8106
627,ASN00008008,-30.5831,116.135
628,ASN00008009,-30.6286,116.3861
629,ASN00008010,-28.0403,114.675
630,ASN00008011,-28.755,114.6133
631,ASN00008012,-28.38,114.6706
632,ASN00008013,-29.3303,116.1433
633,ASN00008014,-30.2192,116.7783
634,ASN00008015,-29.575,116.4967
635,ASN00008016,-30.445,117.0406
636,ASN00008017,-29.9869,116.5711
637,ASN00008018,-29.9331,116.7697
638,ASN00008019,-28.4375,115.1783
639,ASN00008020,-28.9822,116.1683
640,ASN00008021,-30.0425,116.6981
641,ASN00008022,-30.2911,116.3306
642,ASN00008023,-28.9,115.85
643,ASN00008025,-29.6889,115.8869
644,ASN00008026,-29.5833,116.3167
645,ASN00008027,-28.5167,115.8
646,ASN00008028,-28.5008,114.7897
647,ASN00008029,-28.7517,114.9017
648,ASN00008032,-29.0975,116.15
649,ASN00008033,-28.7031,115.8172
650,ASN00008034,-30.3,116.8
651,ASN00008036,-30.4644,116.0372
652,ASN00008037,-29.8819,116.0233
653,ASN00008038,-30.6392,115.9883
654,ASN00008039,-30.2772,116.6619
655,ASN00008041,-27.9775,115.2103
656,ASN00008042,-28.09,115.145
657,ASN00008043,-29.0,116.0
658,ASN00008044,-29.2528,114.9306
659,ASN00008046,-30.9133,116.8092
660,ASN00008047,-29.4714,115.8528
661,ASN00008048,-29.3,116.2
662,ASN00008050,-28.7769,114.605
663,ASN00008051,-28.7953,114.6975
664,ASN00008052,-28.17,114.7614
665,ASN00008054,-30.7989,116.8936
666,ASN00008057,-29.5486,115.0689
667,ASN00008058,-29.0,114.8
668,ASN00008059,-28.7,114.7
669,ASN00008060,-29.0364,115.5536
670,ASN00008061,-30.2842,116.6328
671,ASN00008064,-30.6719,116.3078
672,ASN00008065,-28.4292,114.6542
673,ASN00008066,-30.7008,117.0608
674,ASN00008067,-29.9414,116.2003
675,ASN00008068,-29.3,116.05
676,ASN00008070,-30.7819,116.5058
677,ASN00008072,-29.7586,116.4444
678,ASN00008073,-29.815,116.585
679,ASN00008075,-28.2103,114.305
680,ASN00008076,-29.3833,116.1167
681,ASN00008077,-29.6006,115.9392
682,ASN00008078,-29.2419,115.7794
683,ASN00008079,-29.0711,115.6261
684,ASN00008080,-29.8658,116.525
685,ASN00008081,-28.8883,116.1947
686,ASN00008084,-30.2608,116.21
687,ASN00008085,-30.4919,116.3628
688,ASN00008086,-29.1514,115.2428
689,ASN00008087,-30.4228,116.4583
690,ASN00008088,-29.1906,115.4414
691,ASN00008091,-30.6417,116.0072
692,ASN00008092,-29.1908,115.8814
693,ASN00008093,-29.2103,116.0089
694,ASN00008095,-28.5367,115.5142
695,ASN00008096,-28.1525,114.5689
696,ASN00008097,-28.4472,114.9447
697,ASN00008098,-29.0011,115.3986
698,ASN00008099,-28.6928,114.7319
699,ASN00008100,-28.3456,114.6367
700,ASN00008101,-28.7086,114.9072
701,ASN00008102,-30.675,116.9389
702,ASN00008104,-28.1544,114.6692
703,ASN00008106,-29.3692,116.4061
704,ASN00008107,-29.4417,116.2875
705,ASN00008108,-30.8394,116.3858
706,ASN00008109,-28.4767,115.7897
707,ASN00008111,-30.3883,116.6647
708,ASN00008113,-27.8325,114.7364
709,ASN00008115,-30.565,116.2364
710,ASN00008116,-28.7894,114.9417
711,ASN00008117,-29.2844,115.19
712,ASN00008118,-28.3231,114.9453
713,ASN00008119,-28.3772,115.8508
714,ASN00008120,-28.6214,115.3644
715,ASN00008121,-29.5339,115.7628
716,ASN00008122,-30.6,116.4
717,ASN00008123,-28.3781,114.7619
718,ASN00008124,-28.7928,115.7344
719,ASN00008125,-29.0517,115.4
720,ASN00008126,-29.8497,116.2289
721,ASN00008128,-28.5536,115.2456
722,ASN00008130,-30.2992,116.0589
723,ASN00008134,-28.6475,114.6239
724,ASN00008136,-29.8,115.9
